ID,페르소나,질문유형,난이도,주제,질문,답변
S007,논문 준비 학생,비교,상,개념,부당한 공동행위와 부당한 거래제한의 차이는?,"공동행위(제40조): 사업자 간 합의에 의한 경쟁제한. 거래제한(제45조): 단독 또는 거래상지위 이용 행위. 행위 주체와 합의 유무가 핵심 차이."
S008,논문 준비 학생,통계,중,추세,플랫폼 사업자 대상 처분 추세?,"2020년 이후 카카오·네이버·구글 등 플랫폼 사업자 대상 시장지배·끼워팔기·자기우대 위반 처분 증가. 본 시스템으로 사건 추출 가능."
S009,논문 준비 학생,비교,상,제도,행정처분과 형사처벌의 관계?,"공정위 행정처분(시정명령·과징금) 후 위반 정도 중대 시 검찰 고발(형사처벌). 양자 병과 가능. 형벌은 법 제124조."
S010,논문 준비 학생,사례,상,판례,갑을관계 거래상지위남용의 입증 요건?,"대법원 2014두56392: ① 거래의존도 ② 거래 단절 시 회복 곤란 ③ 강제·압박 정황. 3요소 모두 만족 시 위법 인정."
S011,논문 준비 학생,통계,중,통계,평균 과징금 부과액은?,"위반 유형·매출 규모에 따라 편차 큼. 담합: 수십억~수천억원. 단독 위반: 수백~수십억원. 본 시스템으로 의결서별 액수 검색 가능."
S012,논문 준비 학생,비교,상,법령,약관규제법과 전자상거래법의 청약철회 차이?,"약관법: 일반 약관 무효 사유 규정. 전상법: 7일 이내 단순변심 청약철회 권리 + 14일 결함 시. 적용 영역과 권리 범위 다름."
S013,논문 준비 학생,사례,상,판례,경쟁제한성 입증의 핵심 요소?,"관련시장 획정 + 시장점유율 + 진입장벽 + 효율성 항변 종합 판단. 특히 SSNIP test(작은 가격 인상 후 수요 이탈)가 표준."
S014,논문 준비 학생,통계,중,추세,중소기업 대상 갑질 사건 비중?,"하도급법·대규모유통업법·가맹사업법 위반 합계 의결서 약 60% 이상. 갑을관계 보호가 공정위 핵심 정책."
S015,논문 준비 학생,비교,상,개념,경성 카르텔과 연성 카르텔의 차이?,"경성: 가격담합·시장분할·입찰담합 (per se 위법). 연성: 정보교환·공동 R&D (rule of reason, 효율성 검토)."
A001,일반국민,사전진단,중,온라인쇼핑,오픈마켓 입점업체가 환불을 거부할 때 어디로 신고하나요?,"공정거래위원회 또는 한국소비자원에 신고. 전자상거래법 제17조 위반으로 시정명령·과징금 가능."
A002,기업 컴플라이언스 담당자,사례,상,임원회의,임원회의 회의록에 가격 인상 합의 흔적 있으면?,"명시적 합의 증거로 공정거래법 제40조 위반 강력 입증. 자진신고로 1순위 면제 검토 권고."
A003,논문 준비 학생,통계,중,효과,과징금 부과의 카르텔 억제 효과 연구는?,"OECD 카르텔 보고서 기준 과징금 + 형사처벌 + 손해배상 3중 제재가 효과적. 한국은 손해배상 활성화 미흡 지적."
